ka,hi,en
外国,がいこく,foreign country
外国人,がいこくじん,Foreigner
会社,かいしゃ,Company
階段,かいだん,Stairs
買い物,かいもの,Shopping
買う,かう,to buy
返す,かえす,to return something
帰る,かえる,to go back
,かかる,to take time or money
,かぎ,Key
書く,かく,to write
学生,がくせい,Student
,かける,to call by phone
傘,かさ,Umbrella
貸す,かす,to lend
風,かぜ,Wind
風邪,かぜ,a cold
家族,かぞく,Family
方,かた,"person, way of doing"
学校,がっこう,School
,カップ,Cup
家庭,かてい,Household
角,かど,a corner
,かばん,"bag, basket"
花瓶,かびん,a vase
紙,かみ,paper
,カメラ,camera
火曜日,かようび,Tuesday
辛い,からい,Spicy
体,からだ,Body
借りる,かりる,to borrow
軽い,かるい,Light
,カレー,Curry
,カレンダー,calendar
川/河,かわ,River
,かわいい,Cute
漢字,かんじ,Chinese character
